cuda available with GPU: Tesla V100-PCIE-16GB
==========Load Seed==========
set_random_seed
0
==========Training Start==========
Training Graphs:  2491
Valid Graphs:  277
Test Graphs:  1187
============Not pretrained weights used============
============Creating new layers============
============Creating Model============
Training Graphs Batches:  78
Valid Graphs Batches:  9
Test Graphs Batches:  37
[0/299] timecost: 63.86, lr: 0.000100, Train: (LOSS: 0.2048, MAE: 0.2048, RMSE: 0.2534, R2: 0.0487), Valid: (LOSS: 0.1776, MAE: 0.1776, RMSE: 0.2405, R2: 0.2086), PNorm: 187.0335, GNorm: 0.5000
[1/299] timecost: 61.57, lr: 0.000100, Train: (LOSS: 0.1781, MAE: 0.1781, RMSE: 0.2291, R2: 0.2379), Valid: (LOSS: 0.1752, MAE: 0.1752, RMSE: 0.2258, R2: 0.2946), PNorm: 187.0561, GNorm: 0.5000
[2/299] timecost: 62.58, lr: 0.000100, Train: (LOSS: 0.1686, MAE: 0.1686, RMSE: 0.2203, R2: 0.2955), Valid: (LOSS: 0.1726, MAE: 0.1726, RMSE: 0.2232, R2: 0.3086), PNorm: 187.0902, GNorm: 0.5000
[3/299] timecost: 61.28, lr: 0.000100, Train: (LOSS: 0.1597, MAE: 0.1597, RMSE: 0.2085, R2: 0.3685), Valid: (LOSS: 0.1512, MAE: 0.1512, RMSE: 0.2012, R2: 0.4455), PNorm: 187.1227, GNorm: 0.4288
[4/299] timecost: 58.68, lr: 0.000100, Train: (LOSS: 0.1504, MAE: 0.1504, RMSE: 0.1998, R2: 0.4121), Valid: (LOSS: 0.1400, MAE: 0.1400, RMSE: 0.1855, R2: 0.5158), PNorm: 187.1605, GNorm: 0.5000
[5/299] timecost: 58.37, lr: 0.000100, Train: (LOSS: 0.1392, MAE: 0.1392, RMSE: 0.1874, R2: 0.4811), Valid: (LOSS: 0.1302, MAE: 0.1302, RMSE: 0.1755, R2: 0.5694), PNorm: 187.1913, GNorm: 0.5000
[6/299] timecost: 59.52, lr: 0.000100, Train: (LOSS: 0.1272, MAE: 0.1272, RMSE: 0.1759, R2: 0.5403), Valid: (LOSS: 0.1288, MAE: 0.1288, RMSE: 0.1769, R2: 0.5606), PNorm: 187.2167, GNorm: 0.4035
[7/299] timecost: 60.93, lr: 0.000100, Train: (LOSS: 0.1194, MAE: 0.1194, RMSE: 0.1655, R2: 0.5942), Valid: (LOSS: 0.1205, MAE: 0.1205, RMSE: 0.1635, R2: 0.6238), PNorm: 187.2378, GNorm: 0.4188
[8/299] timecost: 63.20, lr: 0.000100, Train: (LOSS: 0.1125, MAE: 0.1125, RMSE: 0.1586, R2: 0.6138), Valid: (LOSS: 0.1313, MAE: 0.1313, RMSE: 0.1835, R2: 0.5185), PNorm: 187.2657, GNorm: 0.5000
[9/299] timecost: 63.25, lr: 0.000100, Train: (LOSS: 0.1080, MAE: 0.1080, RMSE: 0.1539, R2: 0.6460), Valid: (LOSS: 0.1088, MAE: 0.1088, RMSE: 0.1557, R2: 0.6635), PNorm: 187.2961, GNorm: 0.5000
[10/299] timecost: 61.51, lr: 0.000100, Train: (LOSS: 0.0988, MAE: 0.0988, RMSE: 0.1431, R2: 0.6914), Valid: (LOSS: 0.0976, MAE: 0.0976, RMSE: 0.1367, R2: 0.7361), PNorm: 187.3274, GNorm: 0.5000
