cuda available with GPU: Tesla V100-PCIE-16GB
==========Load Seed==========
set_random_seed
0
==========Training Start==========
Training Graphs:  2491
Valid Graphs:  277
Test Graphs:  1187
============Loading pretrained weights to generate initialization============
============Creating new layers============
============Creating Model============
Training Graphs Batches:  78
Valid Graphs Batches:  9
Test Graphs Batches:  37
[0/299] timecost: 65.62, lr: 0.000030, Train: (LOSS: 0.2311, MAE: 0.2311, RMSE: 0.2719, R2: -0.0736), Valid: (LOSS: 0.2254, MAE: 0.2254, RMSE: 0.2629, R2: 0.0438), PNorm: 174.3767, GNorm: 0.6737
[1/299] timecost: 66.06, lr: 0.000030, Train: (LOSS: 0.2177, MAE: 0.2177, RMSE: 0.2574, R2: 0.0453), Valid: (LOSS: 0.2141, MAE: 0.2141, RMSE: 0.2656, R2: 0.0205), PNorm: 173.7244, GNorm: 0.5175
[2/299] timecost: 64.22, lr: 0.000030, Train: (LOSS: 0.2046, MAE: 0.2046, RMSE: 0.2465, R2: 0.1276), Valid: (LOSS: 0.1978, MAE: 0.1978, RMSE: 0.2396, R2: 0.2016), PNorm: 173.1799, GNorm: 0.5096
[3/299] timecost: 64.90, lr: 0.000030, Train: (LOSS: 0.1861, MAE: 0.1861, RMSE: 0.2314, R2: 0.2103), Valid: (LOSS: 0.1719, MAE: 0.1719, RMSE: 0.2085, R2: 0.3970), PNorm: 172.7377, GNorm: 5.0278
[4/299] timecost: 64.38, lr: 0.000030, Train: (LOSS: 0.1656, MAE: 0.1656, RMSE: 0.2131, R2: 0.3221), Valid: (LOSS: 0.1664, MAE: 0.1664, RMSE: 0.2016, R2: 0.4400), PNorm: 172.3884, GNorm: 3.1432
[5/299] timecost: 64.42, lr: 0.000030, Train: (LOSS: 0.1522, MAE: 0.1522, RMSE: 0.1980, R2: 0.4182), Valid: (LOSS: 0.1526, MAE: 0.1526, RMSE: 0.1978, R2: 0.4566), PNorm: 172.0765, GNorm: 5.4556
[6/299] timecost: 64.18, lr: 0.000030, Train: (LOSS: 0.1504, MAE: 0.1504, RMSE: 0.1959, R2: 0.4334), Valid: (LOSS: 0.1521, MAE: 0.1521, RMSE: 0.1989, R2: 0.4438), PNorm: 171.7850, GNorm: 4.2191
[7/299] timecost: 64.37, lr: 0.000030, Train: (LOSS: 0.1377, MAE: 0.1377, RMSE: 0.1827, R2: 0.4892), Valid: (LOSS: 0.1362, MAE: 0.1362, RMSE: 0.1843, R2: 0.5238), PNorm: 171.4963, GNorm: 1.3768
[8/299] timecost: 63.90, lr: 0.000030, Train: (LOSS: 0.1334, MAE: 0.1334, RMSE: 0.1816, R2: 0.5075), Valid: (LOSS: 0.1399, MAE: 0.1399, RMSE: 0.1858, R2: 0.5239), PNorm: 171.2193, GNorm: 0.8805
[9/299] timecost: 64.11, lr: 0.000030, Train: (LOSS: 0.1267, MAE: 0.1267, RMSE: 0.1726, R2: 0.5592), Valid: (LOSS: 0.1417, MAE: 0.1417, RMSE: 0.1943, R2: 0.4699), PNorm: 170.9491, GNorm: 1.5529
[10/299] timecost: 63.96, lr: 0.000030, Train: (LOSS: 0.1250, MAE: 0.1250, RMSE: 0.1732, R2: 0.5550), Valid: (LOSS: 0.1220, MAE: 0.1220, RMSE: 0.1652, R2: 0.6221), PNorm: 170.6900, GNorm: 2.2696
[11/299] timecost: 64.45, lr: 0.000030, Train: (LOSS: 0.1206, MAE: 0.1206, RMSE: 0.1663, R2: 0.5827), Valid: (LOSS: 0.1243, MAE: 0.1243, RMSE: 0.1652, R2: 0.6172), PNorm: 170.4413, GNorm: 4.3621
[12/299] timecost: 65.60, lr: 0.000030, Train: (LOSS: 0.1319, MAE: 0.1319, RMSE: 0.1783, R2: 0.5126), Valid: (LOSS: 0.1193, MAE: 0.1193, RMSE: 0.1593, R2: 0.6489), PNorm: 170.2088, GNorm: 1.2798
[13/299] timecost: 66.68, lr: 0.000030, Train: (LOSS: 0.1140, MAE: 0.1140, RMSE: 0.1591, R2: 0.6195), Valid: (LOSS: 0.1303, MAE: 0.1303, RMSE: 0.1810, R2: 0.5444), PNorm: 169.9816, GNorm: 1.0737
[14/299] timecost: 66.60, lr: 0.000030, Train: (LOSS: 0.1198, MAE: 0.1198, RMSE: 0.1682, R2: 0.5788), Valid: (LOSS: 0.1198, MAE: 0.1198, RMSE: 0.1658, R2: 0.6178), PNorm: 169.7627, GNorm: 1.0378
[15/299] timecost: 66.82, lr: 0.000030, Train: (LOSS: 0.1105, MAE: 0.1105, RMSE: 0.1568, R2: 0.6234), Valid: (LOSS: 0.1196, MAE: 0.1196, RMSE: 0.1732, R2: 0.5800), PNorm: 169.5489, GNorm: 2.7986
