cuda available with GPU: Tesla V100-PCIE-16GB
==========Load Seed==========
set_random_seed
0
==========Training Start==========
Training Graphs:  2491
Valid Graphs:  277
Test Graphs:  1187
============Not pretrained weights used============
============Creating new layers============
============Creating Model============
Training Graphs Batches:  78
Valid Graphs Batches:  9
Test Graphs Batches:  37
[0/299] timecost: 60.85, lr: 0.000100, Train: (LOSS: 0.2260, MAE: 0.2260, RMSE: 0.2780, R2: -0.1557), Valid: (LOSS: 0.1680, MAE: 0.1680, RMSE: 0.2071, R2: 0.3567), PNorm: 187.0331, GNorm: 0.5000
[1/299] timecost: 58.39, lr: 0.000100, Train: (LOSS: 0.1714, MAE: 0.1714, RMSE: 0.2224, R2: 0.2926), Valid: (LOSS: 0.1448, MAE: 0.1448, RMSE: 0.1935, R2: 0.4375), PNorm: 187.0577, GNorm: 0.5000
[2/299] timecost: 58.86, lr: 0.000100, Train: (LOSS: 0.1610, MAE: 0.1610, RMSE: 0.2095, R2: 0.3685), Valid: (LOSS: 0.1416, MAE: 0.1416, RMSE: 0.1882, R2: 0.4640), PNorm: 187.0990, GNorm: 0.5000
[3/299] timecost: 58.51, lr: 0.000100, Train: (LOSS: 0.1482, MAE: 0.1482, RMSE: 0.1937, R2: 0.4408), Valid: (LOSS: 0.1630, MAE: 0.1630, RMSE: 0.2054, R2: 0.3532), PNorm: 187.1283, GNorm: 0.5000
[4/299] timecost: 58.38, lr: 0.000100, Train: (LOSS: 0.1380, MAE: 0.1380, RMSE: 0.1870, R2: 0.4846), Valid: (LOSS: 0.1204, MAE: 0.1204, RMSE: 0.1660, R2: 0.5754), PNorm: 187.1484, GNorm: 0.5000
[5/299] timecost: 58.71, lr: 0.000100, Train: (LOSS: 0.1299, MAE: 0.1299, RMSE: 0.1779, R2: 0.5257), Valid: (LOSS: 0.1239, MAE: 0.1239, RMSE: 0.1714, R2: 0.5525), PNorm: 187.1686, GNorm: 0.2401
[6/299] timecost: 58.53, lr: 0.000100, Train: (LOSS: 0.1273, MAE: 0.1273, RMSE: 0.1765, R2: 0.5395), Valid: (LOSS: 0.1309, MAE: 0.1309, RMSE: 0.1826, R2: 0.4922), PNorm: 187.1823, GNorm: 0.5000
[7/299] timecost: 58.26, lr: 0.000100, Train: (LOSS: 0.1244, MAE: 0.1244, RMSE: 0.1741, R2: 0.5411), Valid: (LOSS: 0.1260, MAE: 0.1260, RMSE: 0.1687, R2: 0.5722), PNorm: 187.2010, GNorm: 0.5000
[8/299] timecost: 58.55, lr: 0.000100, Train: (LOSS: 0.1241, MAE: 0.1241, RMSE: 0.1707, R2: 0.5728), Valid: (LOSS: 0.1293, MAE: 0.1293, RMSE: 0.1765, R2: 0.5248), PNorm: 187.2275, GNorm: 0.3448
[9/299] timecost: 61.80, lr: 0.000100, Train: (LOSS: 0.1229, MAE: 0.1229, RMSE: 0.1719, R2: 0.5573), Valid: (LOSS: 0.1182, MAE: 0.1182, RMSE: 0.1585, R2: 0.6167), PNorm: 187.2517, GNorm: 0.5000
[10/299] timecost: 62.49, lr: 0.000100, Train: (LOSS: 0.1187, MAE: 0.1187, RMSE: 0.1670, R2: 0.5749), Valid: (LOSS: 0.1057, MAE: 0.1057, RMSE: 0.1489, R2: 0.6668), PNorm: 187.2847, GNorm: 0.5000
