cuda available with GPU: Tesla V100-PCIE-16GB
==========Load Seed==========
set_random_seed
0
==========Training Start==========
Training Graphs:  2491
Valid Graphs:  277
Test Graphs:  1187
============Loading pretrained weights to generate initialization============
============Creating new layers============
============Creating Model============
Training Graphs Batches:  78
Valid Graphs Batches:  9
Test Graphs Batches:  37
[0/299] timecost: 64.60, lr: 0.000030, Train: (LOSS: 0.2338, MAE: 0.2338, RMSE: 0.2810, R2: -0.1311), Valid: (LOSS: 0.2225, MAE: 0.2225, RMSE: 0.2570, R2: 0.0225), PNorm: 174.4518, GNorm: 0.9436
[1/299] timecost: 62.96, lr: 0.000030, Train: (LOSS: 0.2161, MAE: 0.2161, RMSE: 0.2607, R2: 0.0352), Valid: (LOSS: 0.2319, MAE: 0.2319, RMSE: 0.2673, R2: -0.0680), PNorm: 173.7673, GNorm: 1.0185
[2/299] timecost: 64.43, lr: 0.000030, Train: (LOSS: 0.2047, MAE: 0.2047, RMSE: 0.2485, R2: 0.1177), Valid: (LOSS: 0.2011, MAE: 0.2011, RMSE: 0.2531, R2: 0.0401), PNorm: 173.1711, GNorm: 0.4748
[3/299] timecost: 65.01, lr: 0.000030, Train: (LOSS: 0.1872, MAE: 0.1872, RMSE: 0.2328, R2: 0.2201), Valid: (LOSS: 0.1728, MAE: 0.1728, RMSE: 0.2144, R2: 0.3102), PNorm: 172.6981, GNorm: 1.0189
[4/299] timecost: 65.14, lr: 0.000030, Train: (LOSS: 0.1502, MAE: 0.1502, RMSE: 0.1963, R2: 0.4258), Valid: (LOSS: 0.1242, MAE: 0.1242, RMSE: 0.1682, R2: 0.5703), PNorm: 172.3070, GNorm: 2.7893
[5/299] timecost: 65.19, lr: 0.000030, Train: (LOSS: 0.1369, MAE: 0.1369, RMSE: 0.1831, R2: 0.5068), Valid: (LOSS: 0.1284, MAE: 0.1284, RMSE: 0.1794, R2: 0.5077), PNorm: 171.9501, GNorm: 2.1825
[6/299] timecost: 64.50, lr: 0.000030, Train: (LOSS: 0.1390, MAE: 0.1390, RMSE: 0.1886, R2: 0.4662), Valid: (LOSS: 0.1247, MAE: 0.1247, RMSE: 0.1671, R2: 0.5751), PNorm: 171.6083, GNorm: 1.4762
[7/299] timecost: 64.07, lr: 0.000030, Train: (LOSS: 0.1298, MAE: 0.1298, RMSE: 0.1775, R2: 0.5307), Valid: (LOSS: 0.1163, MAE: 0.1163, RMSE: 0.1612, R2: 0.6084), PNorm: 171.2772, GNorm: 4.3271
[8/299] timecost: 63.22, lr: 0.000030, Train: (LOSS: 0.1212, MAE: 0.1212, RMSE: 0.1703, R2: 0.5778), Valid: (LOSS: 0.1150, MAE: 0.1150, RMSE: 0.1579, R2: 0.6224), PNorm: 170.9543, GNorm: 1.5078
[9/299] timecost: 63.27, lr: 0.000030, Train: (LOSS: 0.1197, MAE: 0.1197, RMSE: 0.1693, R2: 0.5734), Valid: (LOSS: 0.1083, MAE: 0.1083, RMSE: 0.1548, R2: 0.6373), PNorm: 170.6431, GNorm: 2.6985
[10/299] timecost: 63.14, lr: 0.000030, Train: (LOSS: 0.1230, MAE: 0.1230, RMSE: 0.1727, R2: 0.5633), Valid: (LOSS: 0.1050, MAE: 0.1050, RMSE: 0.1494, R2: 0.6594), PNorm: 170.3404, GNorm: 1.9155
[11/299] timecost: 63.44, lr: 0.000030, Train: (LOSS: 0.1155, MAE: 0.1155, RMSE: 0.1653, R2: 0.5758), Valid: (LOSS: 0.1057, MAE: 0.1057, RMSE: 0.1533, R2: 0.6370), PNorm: 170.0427, GNorm: 4.1432
[12/299] timecost: 64.35, lr: 0.000030, Train: (LOSS: 0.1110, MAE: 0.1110, RMSE: 0.1595, R2: 0.6218), Valid: (LOSS: 0.1088, MAE: 0.1088, RMSE: 0.1569, R2: 0.6285), PNorm: 169.7518, GNorm: 1.7031
[13/299] timecost: 63.99, lr: 0.000030, Train: (LOSS: 0.1112, MAE: 0.1112, RMSE: 0.1607, R2: 0.6207), Valid: (LOSS: 0.1013, MAE: 0.1013, RMSE: 0.1481, R2: 0.6685), PNorm: 169.4657, GNorm: 2.2348
[14/299] timecost: 63.98, lr: 0.000030, Train: (LOSS: 0.1040, MAE: 0.1040, RMSE: 0.1522, R2: 0.6559), Valid: (LOSS: 0.0965, MAE: 0.0965, RMSE: 0.1429, R2: 0.6900), PNorm: 169.1836, GNorm: 2.3967
[15/299] timecost: 63.85, lr: 0.000030, Train: (LOSS: 0.1023, MAE: 0.1023, RMSE: 0.1492, R2: 0.6613), Valid: (LOSS: 0.0956, MAE: 0.0956, RMSE: 0.1386, R2: 0.7106), PNorm: 168.9056, GNorm: 1.7947
