cuda available with GPU: Tesla V100-PCIE-16GB
==========Load Seed==========
set_random_seed
0
==========Training Start==========
Training Graphs:  2491
Valid Graphs:  277
Test Graphs:  1187
============Loading pretrained weights to generate initialization============
============Creating new layers============
============Creating Model============
Training Graphs Batches:  78
Valid Graphs Batches:  9
Test Graphs Batches:  37
[0/299] timecost: 67.24, lr: 0.000030, Train: (LOSS: 0.2319, MAE: 0.2319, RMSE: 0.2710, R2: -0.0279), Valid: (LOSS: 0.2107, MAE: 0.2107, RMSE: 0.2620, R2: -0.0687), PNorm: 174.3683, GNorm: 1.6920
[1/299] timecost: 65.53, lr: 0.000030, Train: (LOSS: 0.2130, MAE: 0.2130, RMSE: 0.2554, R2: 0.0771), Valid: (LOSS: 0.1914, MAE: 0.1914, RMSE: 0.2328, R2: 0.1553), PNorm: 173.7829, GNorm: 0.6540
[2/299] timecost: 65.80, lr: 0.000030, Train: (LOSS: 0.2011, MAE: 0.2011, RMSE: 0.2431, R2: 0.1785), Valid: (LOSS: 0.2028, MAE: 0.2028, RMSE: 0.2406, R2: 0.0966), PNorm: 173.3399, GNorm: 1.3646
[3/299] timecost: 66.30, lr: 0.000030, Train: (LOSS: 0.1900, MAE: 0.1900, RMSE: 0.2337, R2: 0.2241), Valid: (LOSS: 0.1749, MAE: 0.1749, RMSE: 0.2158, R2: 0.2737), PNorm: 172.9539, GNorm: 2.8231
[4/299] timecost: 65.44, lr: 0.000030, Train: (LOSS: 0.1638, MAE: 0.1638, RMSE: 0.2088, R2: 0.3772), Valid: (LOSS: 0.1675, MAE: 0.1675, RMSE: 0.2198, R2: 0.2461), PNorm: 172.6224, GNorm: 2.3754
[5/299] timecost: 65.81, lr: 0.000030, Train: (LOSS: 0.1446, MAE: 0.1446, RMSE: 0.1899, R2: 0.4670), Valid: (LOSS: 0.1264, MAE: 0.1264, RMSE: 0.1738, R2: 0.5249), PNorm: 172.3205, GNorm: 2.0321
[6/299] timecost: 66.11, lr: 0.000030, Train: (LOSS: 0.1459, MAE: 0.1459, RMSE: 0.1928, R2: 0.4666), Valid: (LOSS: 0.1206, MAE: 0.1206, RMSE: 0.1686, R2: 0.5517), PNorm: 172.0426, GNorm: 2.3988
[7/299] timecost: 65.15, lr: 0.000030, Train: (LOSS: 0.1297, MAE: 0.1297, RMSE: 0.1768, R2: 0.5528), Valid: (LOSS: 0.1138, MAE: 0.1138, RMSE: 0.1619, R2: 0.5882), PNorm: 171.7805, GNorm: 1.1773
[8/299] timecost: 65.52, lr: 0.000030, Train: (LOSS: 0.1238, MAE: 0.1238, RMSE: 0.1698, R2: 0.5819), Valid: (LOSS: 0.1131, MAE: 0.1131, RMSE: 0.1645, R2: 0.5719), PNorm: 171.5266, GNorm: 2.2433
[9/299] timecost: 65.31, lr: 0.000030, Train: (LOSS: 0.1323, MAE: 0.1323, RMSE: 0.1806, R2: 0.5236), Valid: (LOSS: 0.1157, MAE: 0.1157, RMSE: 0.1655, R2: 0.5699), PNorm: 171.2860, GNorm: 3.7632
[10/299] timecost: 65.62, lr: 0.000030, Train: (LOSS: 0.1182, MAE: 0.1182, RMSE: 0.1649, R2: 0.5992), Valid: (LOSS: 0.1141, MAE: 0.1141, RMSE: 0.1688, R2: 0.5512), PNorm: 171.0514, GNorm: 2.0485
[11/299] timecost: 65.26, lr: 0.000030, Train: (LOSS: 0.1167, MAE: 0.1167, RMSE: 0.1628, R2: 0.6115), Valid: (LOSS: 0.1063, MAE: 0.1063, RMSE: 0.1519, R2: 0.6375), PNorm: 170.8221, GNorm: 2.9283
[12/299] timecost: 64.83, lr: 0.000030, Train: (LOSS: 0.1144, MAE: 0.1144, RMSE: 0.1627, R2: 0.6138), Valid: (LOSS: 0.1079, MAE: 0.1079, RMSE: 0.1512, R2: 0.6411), PNorm: 170.5975, GNorm: 2.9343
[13/299] timecost: 64.55, lr: 0.000030, Train: (LOSS: 0.1124, MAE: 0.1124, RMSE: 0.1592, R2: 0.6325), Valid: (LOSS: 0.1101, MAE: 0.1101, RMSE: 0.1543, R2: 0.6265), PNorm: 170.3779, GNorm: 3.5420
[14/299] timecost: 65.17, lr: 0.000030, Train: (LOSS: 0.1060, MAE: 0.1060, RMSE: 0.1520, R2: 0.6627), Valid: (LOSS: 0.1020, MAE: 0.1020, RMSE: 0.1527, R2: 0.6352), PNorm: 170.1606, GNorm: 2.1860
[15/299] timecost: 65.09, lr: 0.000030, Train: (LOSS: 0.1053, MAE: 0.1053, RMSE: 0.1509, R2: 0.6689), Valid: (LOSS: 0.1073, MAE: 0.1073, RMSE: 0.1533, R2: 0.6318), PNorm: 169.9456, GNorm: 4.8480
