cuda available with GPU: Tesla V100-PCIE-16GB
==========Load Seed==========
set_random_seed
0
==========Training Start==========
Training Graphs:  2491
Valid Graphs:  277
Test Graphs:  1187
============Not pretrained weights used============
============Creating new layers============
============Creating Model============
Training Graphs Batches:  78
Valid Graphs Batches:  9
Test Graphs Batches:  37
[0/299] timecost: 62.68, lr: 0.000100, Train: (LOSS: 0.2700, MAE: 0.2700, RMSE: 0.3305, R2: -0.6182), Valid: (LOSS: 0.4030, MAE: 0.4030, RMSE: 0.4542, R2: -2.2405), PNorm: 187.0264, GNorm: 0.5000
[1/299] timecost: 59.20, lr: 0.000100, Train: (LOSS: 0.2190, MAE: 0.2190, RMSE: 0.2735, R2: -0.0855), Valid: (LOSS: 0.1562, MAE: 0.1562, RMSE: 0.1972, R2: 0.3969), PNorm: 187.0620, GNorm: 0.5000
[2/299] timecost: 59.16, lr: 0.000100, Train: (LOSS: 0.1778, MAE: 0.1778, RMSE: 0.2284, R2: 0.2750), Valid: (LOSS: 0.1391, MAE: 0.1391, RMSE: 0.1832, R2: 0.4761), PNorm: 187.0916, GNorm: 0.5000
[3/299] timecost: 58.66, lr: 0.000100, Train: (LOSS: 0.1589, MAE: 0.1589, RMSE: 0.2080, R2: 0.3832), Valid: (LOSS: 0.1279, MAE: 0.1279, RMSE: 0.1785, R2: 0.4990), PNorm: 187.1413, GNorm: 0.3917
[4/299] timecost: 58.52, lr: 0.000100, Train: (LOSS: 0.1439, MAE: 0.1439, RMSE: 0.1943, R2: 0.4616), Valid: (LOSS: 0.1348, MAE: 0.1348, RMSE: 0.1786, R2: 0.5026), PNorm: 187.1726, GNorm: 0.4642
[5/299] timecost: 58.48, lr: 0.000100, Train: (LOSS: 0.1349, MAE: 0.1349, RMSE: 0.1832, R2: 0.5092), Valid: (LOSS: 0.1324, MAE: 0.1324, RMSE: 0.1764, R2: 0.5129), PNorm: 187.2009, GNorm: 0.5000
[6/299] timecost: 58.57, lr: 0.000100, Train: (LOSS: 0.1321, MAE: 0.1321, RMSE: 0.1802, R2: 0.5406), Valid: (LOSS: 0.1258, MAE: 0.1258, RMSE: 0.1815, R2: 0.4746), PNorm: 187.2313, GNorm: 0.5000
[7/299] timecost: 58.90, lr: 0.000100, Train: (LOSS: 0.1324, MAE: 0.1324, RMSE: 0.1823, R2: 0.5024), Valid: (LOSS: 0.1354, MAE: 0.1354, RMSE: 0.1892, R2: 0.4340), PNorm: 187.2539, GNorm: 0.5000
[8/299] timecost: 58.48, lr: 0.000100, Train: (LOSS: 0.1306, MAE: 0.1306, RMSE: 0.1806, R2: 0.5311), Valid: (LOSS: 0.1238, MAE: 0.1238, RMSE: 0.1754, R2: 0.5142), PNorm: 187.2839, GNorm: 0.5000
[9/299] timecost: 58.76, lr: 0.000100, Train: (LOSS: 0.1235, MAE: 0.1235, RMSE: 0.1693, R2: 0.5852), Valid: (LOSS: 0.1180, MAE: 0.1180, RMSE: 0.1668, R2: 0.5612), PNorm: 187.3086, GNorm: 0.5000
[10/299] timecost: 58.91, lr: 0.000100, Train: (LOSS: 0.1198, MAE: 0.1198, RMSE: 0.1665, R2: 0.6029), Valid: (LOSS: 0.1064, MAE: 0.1064, RMSE: 0.1520, R2: 0.6402), PNorm: 187.3479, GNorm: 0.5000
