cuda available with GPU: Tesla V100-PCIE-16GB
==========Load Seed==========
set_random_seed
0
==========Training Start==========
Training Graphs:  2491
Valid Graphs:  277
Test Graphs:  1187
============Not pretrained weights used============
============Creating new layers============
============Creating Model============
Training Graphs Batches:  78
Valid Graphs Batches:  9
Test Graphs Batches:  37
[0/299] timecost: 61.10, lr: 0.000100, Train: (LOSS: 0.2105, MAE: 0.2105, RMSE: 0.2578, R2: 0.0304), Valid: (LOSS: 0.1757, MAE: 0.1757, RMSE: 0.2297, R2: 0.2844), PNorm: 187.0395, GNorm: 0.5000
[1/299] timecost: 59.25, lr: 0.000100, Train: (LOSS: 0.1749, MAE: 0.1749, RMSE: 0.2247, R2: 0.2741), Valid: (LOSS: 0.1664, MAE: 0.1664, RMSE: 0.2042, R2: 0.4350), PNorm: 187.0749, GNorm: 0.5000
[2/299] timecost: 59.14, lr: 0.000100, Train: (LOSS: 0.1555, MAE: 0.1555, RMSE: 0.2043, R2: 0.4013), Valid: (LOSS: 0.1622, MAE: 0.1622, RMSE: 0.2059, R2: 0.4094), PNorm: 187.1124, GNorm: 0.4681
[3/299] timecost: 58.93, lr: 0.000100, Train: (LOSS: 0.1390, MAE: 0.1390, RMSE: 0.1899, R2: 0.4736), Valid: (LOSS: 0.1571, MAE: 0.1571, RMSE: 0.2048, R2: 0.3999), PNorm: 187.1329, GNorm: 0.5000
[4/299] timecost: 59.10, lr: 0.000100, Train: (LOSS: 0.1335, MAE: 0.1335, RMSE: 0.1817, R2: 0.5020), Valid: (LOSS: 0.1511, MAE: 0.1511, RMSE: 0.2051, R2: 0.3980), PNorm: 187.1547, GNorm: 0.5000
[5/299] timecost: 58.97, lr: 0.000100, Train: (LOSS: 0.1290, MAE: 0.1290, RMSE: 0.1784, R2: 0.5255), Valid: (LOSS: 0.1270, MAE: 0.1270, RMSE: 0.1747, R2: 0.5586), PNorm: 187.1724, GNorm: 0.5000
[6/299] timecost: 59.33, lr: 0.000100, Train: (LOSS: 0.1231, MAE: 0.1231, RMSE: 0.1700, R2: 0.5663), Valid: (LOSS: 0.1342, MAE: 0.1342, RMSE: 0.1771, R2: 0.5521), PNorm: 187.1886, GNorm: 0.5000
[7/299] timecost: 59.31, lr: 0.000100, Train: (LOSS: 0.1220, MAE: 0.1220, RMSE: 0.1718, R2: 0.5535), Valid: (LOSS: 0.1308, MAE: 0.1308, RMSE: 0.1732, R2: 0.5732), PNorm: 187.2073, GNorm: 0.5000
[8/299] timecost: 58.79, lr: 0.000100, Train: (LOSS: 0.1195, MAE: 0.1195, RMSE: 0.1682, R2: 0.5779), Valid: (LOSS: 0.1245, MAE: 0.1245, RMSE: 0.1664, R2: 0.6051), PNorm: 187.2242, GNorm: 0.4486
[9/299] timecost: 58.89, lr: 0.000100, Train: (LOSS: 0.1208, MAE: 0.1208, RMSE: 0.1693, R2: 0.5821), Valid: (LOSS: 0.1238, MAE: 0.1238, RMSE: 0.1653, R2: 0.6134), PNorm: 187.2420, GNorm: 0.4596
[10/299] timecost: 59.56, lr: 0.000100, Train: (LOSS: 0.1192, MAE: 0.1192, RMSE: 0.1697, R2: 0.5596), Valid: (LOSS: 0.1261, MAE: 0.1261, RMSE: 0.1776, R2: 0.5599), PNorm: 187.2608, GNorm: 0.4827
[11/299] timecost: 59.13, lr: 0.000100, Train: (LOSS: 0.1160, MAE: 0.1160, RMSE: 0.1639, R2: 0.5997), Valid: (LOSS: 0.1152, MAE: 0.1152, RMSE: 0.1561, R2: 0.6543), PNorm: 187.2864, GNorm: 0.3550
[12/299] timecost: 59.37, lr: 0.000100, Train: (LOSS: 0.1129, MAE: 0.1129, RMSE: 0.1620, R2: 0.6103), Valid: (LOSS: 0.1092, MAE: 0.1092, RMSE: 0.1536, R2: 0.6681), PNorm: 187.3228, GNorm: 0.5000
[13/299] timecost: 59.19, lr: 0.000100, Train: (LOSS: 0.1061, MAE: 0.1061, RMSE: 0.1523, R2: 0.6480), Valid: (LOSS: 0.1174, MAE: 0.1174, RMSE: 0.1620, R2: 0.6334), PNorm: 187.3593, GNorm: 0.5000
[14/299] timecost: 58.92, lr: 0.000100, Train: (LOSS: 0.1013, MAE: 0.1013, RMSE: 0.1469, R2: 0.6742), Valid: (LOSS: 0.1086, MAE: 0.1086, RMSE: 0.1517, R2: 0.6739), PNorm: 187.3855, GNorm: 0.4594
[15/299] timecost: 59.15, lr: 0.000100, Train: (LOSS: 0.0953, MAE: 0.0953, RMSE: 0.1413, R2: 0.6934), Valid: (LOSS: 0.0992, MAE: 0.0992, RMSE: 0.1383, R2: 0.7360), PNorm: 187.4102, GNorm: 0.4526
[16/299] timecost: 58.97, lr: 0.000100, Train: (LOSS: 0.0946, MAE: 0.0946, RMSE: 0.1383, R2: 0.7062), Valid: (LOSS: 0.0951, MAE: 0.0951, RMSE: 0.1327, R2: 0.7612), PNorm: 187.4357, GNorm: 0.4309
[17/299] timecost: 58.77, lr: 0.000100, Train: (LOSS: 0.0878, MAE: 0.0878, RMSE: 0.1308, R2: 0.7432), Valid: (LOSS: 0.0932, MAE: 0.0932, RMSE: 0.1312, R2: 0.7618), PNorm: 187.4563, GNorm: 0.5000
[18/299] timecost: 58.75, lr: 0.000100, Train: (LOSS: 0.0847, MAE: 0.0847, RMSE: 0.1257, R2: 0.7602), Valid: (LOSS: 0.0854, MAE: 0.0854, RMSE: 0.1181, R2: 0.8053), PNorm: 187.4734, GNorm: 0.5000
[19/299] timecost: 58.29, lr: 0.000100, Train: (LOSS: 0.0825, MAE: 0.0825, RMSE: 0.1234, R2: 0.7737), Valid: (LOSS: 0.0833, MAE: 0.0833, RMSE: 0.1187, R2: 0.8065), PNorm: 187.4952, GNorm: 0.5000
