cuda available with GPU: Tesla V100-PCIE-16GB
==========Load Seed==========
set_random_seed
0
==========Training Start==========
Training Graphs:  2491
Valid Graphs:  277
Test Graphs:  1187
============Loading pretrained weights to generate initialization============
============Creating new layers============
============Creating Model============
Training Graphs Batches:  78
Valid Graphs Batches:  9
Test Graphs Batches:  37
[0/299] timecost: 69.13, lr: 0.000030, Train: (LOSS: 0.2315, MAE: 0.2315, RMSE: 0.2733, R2: -0.0694), Valid: (LOSS: 0.2239, MAE: 0.2239, RMSE: 0.2600, R2: 0.0874), PNorm: 174.3676, GNorm: 0.5405
[1/299] timecost: 66.83, lr: 0.000030, Train: (LOSS: 0.2164, MAE: 0.2164, RMSE: 0.2600, R2: 0.0494), Valid: (LOSS: 0.2135, MAE: 0.2135, RMSE: 0.2537, R2: 0.1321), PNorm: 173.6858, GNorm: 0.4347
[2/299] timecost: 67.03, lr: 0.000030, Train: (LOSS: 0.2062, MAE: 0.2062, RMSE: 0.2491, R2: 0.1192), Valid: (LOSS: 0.1993, MAE: 0.1993, RMSE: 0.2405, R2: 0.2199), PNorm: 173.1628, GNorm: 0.8932
[3/299] timecost: 67.62, lr: 0.000030, Train: (LOSS: 0.1927, MAE: 0.1927, RMSE: 0.2361, R2: 0.1909), Valid: (LOSS: 0.2045, MAE: 0.2045, RMSE: 0.2368, R2: 0.2369), PNorm: 172.7488, GNorm: 1.9331
[4/299] timecost: 68.48, lr: 0.000030, Train: (LOSS: 0.1697, MAE: 0.1697, RMSE: 0.2168, R2: 0.3137), Valid: (LOSS: 0.1455, MAE: 0.1455, RMSE: 0.1823, R2: 0.5347), PNorm: 172.4072, GNorm: 3.8833
[5/299] timecost: 68.44, lr: 0.000030, Train: (LOSS: 0.1483, MAE: 0.1483, RMSE: 0.1954, R2: 0.4304), Valid: (LOSS: 0.1614, MAE: 0.1614, RMSE: 0.2079, R2: 0.3830), PNorm: 172.1139, GNorm: 2.4791
[6/299] timecost: 68.38, lr: 0.000030, Train: (LOSS: 0.1376, MAE: 0.1376, RMSE: 0.1848, R2: 0.4965), Valid: (LOSS: 0.1471, MAE: 0.1471, RMSE: 0.1986, R2: 0.4600), PNorm: 171.8469, GNorm: 1.6993
[7/299] timecost: 67.59, lr: 0.000030, Train: (LOSS: 0.1311, MAE: 0.1311, RMSE: 0.1783, R2: 0.5382), Valid: (LOSS: 0.1167, MAE: 0.1167, RMSE: 0.1573, R2: 0.6483), PNorm: 171.5925, GNorm: 2.2970
[8/299] timecost: 68.95, lr: 0.000030, Train: (LOSS: 0.1257, MAE: 0.1257, RMSE: 0.1737, R2: 0.5459), Valid: (LOSS: 0.1210, MAE: 0.1210, RMSE: 0.1553, R2: 0.6586), PNorm: 171.3534, GNorm: 1.6797
[9/299] timecost: 67.72, lr: 0.000030, Train: (LOSS: 0.1256, MAE: 0.1256, RMSE: 0.1728, R2: 0.5369), Valid: (LOSS: 0.1231, MAE: 0.1231, RMSE: 0.1653, R2: 0.6156), PNorm: 171.1258, GNorm: 2.7705
[10/299] timecost: 67.01, lr: 0.000030, Train: (LOSS: 0.1182, MAE: 0.1182, RMSE: 0.1639, R2: 0.5989), Valid: (LOSS: 0.1167, MAE: 0.1167, RMSE: 0.1573, R2: 0.6506), PNorm: 170.9101, GNorm: 2.5050
[11/299] timecost: 67.40, lr: 0.000030, Train: (LOSS: 0.1226, MAE: 0.1226, RMSE: 0.1699, R2: 0.5612), Valid: (LOSS: 0.1181, MAE: 0.1181, RMSE: 0.1552, R2: 0.6644), PNorm: 170.7055, GNorm: 3.2326
[12/299] timecost: 66.91, lr: 0.000030, Train: (LOSS: 0.1205, MAE: 0.1205, RMSE: 0.1671, R2: 0.5800), Valid: (LOSS: 0.1115, MAE: 0.1115, RMSE: 0.1480, R2: 0.6958), PNorm: 170.5097, GNorm: 1.9179
[13/299] timecost: 66.83, lr: 0.000030, Train: (LOSS: 0.1152, MAE: 0.1152, RMSE: 0.1617, R2: 0.6046), Valid: (LOSS: 0.1033, MAE: 0.1033, RMSE: 0.1440, R2: 0.7154), PNorm: 170.3218, GNorm: 2.7379
[14/299] timecost: 66.29, lr: 0.000030, Train: (LOSS: 0.1141, MAE: 0.1141, RMSE: 0.1605, R2: 0.6061), Valid: (LOSS: 0.1237, MAE: 0.1237, RMSE: 0.1655, R2: 0.6291), PNorm: 170.1395, GNorm: 1.2927
[15/299] timecost: 66.74, lr: 0.000030, Train: (LOSS: 0.1095, MAE: 0.1095, RMSE: 0.1551, R2: 0.6474), Valid: (LOSS: 0.0985, MAE: 0.0985, RMSE: 0.1396, R2: 0.7356), PNorm: 169.9626, GNorm: 5.2921
[16/299] timecost: 66.52, lr: 0.000030, Train: (LOSS: 0.1075, MAE: 0.1075, RMSE: 0.1551, R2: 0.6350), Valid: (LOSS: 0.1009, MAE: 0.1009, RMSE: 0.1426, R2: 0.7160), PNorm: 169.7889, GNorm: 1.4245
[17/299] timecost: 66.35, lr: 0.000030, Train: (LOSS: 0.1027, MAE: 0.1027, RMSE: 0.1469, R2: 0.6741), Valid: (LOSS: 0.1081, MAE: 0.1081, RMSE: 0.1493, R2: 0.6924), PNorm: 169.6217, GNorm: 1.6552
[18/299] timecost: 66.63, lr: 0.000030, Train: (LOSS: 0.1018, MAE: 0.1018, RMSE: 0.1461, R2: 0.6770), Valid: (LOSS: 0.0973, MAE: 0.0973, RMSE: 0.1389, R2: 0.7291), PNorm: 169.4596, GNorm: 1.3423
[19/299] timecost: 66.50, lr: 0.000030, Train: (LOSS: 0.1013, MAE: 0.1013, RMSE: 0.1480, R2: 0.6773), Valid: (LOSS: 0.1042, MAE: 0.1042, RMSE: 0.1538, R2: 0.6791), PNorm: 169.3018, GNorm: 1.3737
[20/299] timecost: 66.41, lr: 0.000030, Train: (LOSS: 0.0959, MAE: 0.0959, RMSE: 0.1396, R2: 0.7010), Valid: (LOSS: 0.0881, MAE: 0.0881, RMSE: 0.1283, R2: 0.7745), PNorm: 169.1463, GNorm: 1.2877
[21/299] timecost: 66.30, lr: 0.000030, Train: (LOSS: 0.0957, MAE: 0.0957, RMSE: 0.1390, R2: 0.7019), Valid: (LOSS: 0.1163, MAE: 0.1163, RMSE: 0.1678, R2: 0.6025), PNorm: 168.9933, GNorm: 3.7537
[22/299] timecost: 65.99, lr: 0.000030, Train: (LOSS: 0.0948, MAE: 0.0948, RMSE: 0.1393, R2: 0.7031), Valid: (LOSS: 0.0963, MAE: 0.0963, RMSE: 0.1404, R2: 0.7288), PNorm: 168.8436, GNorm: 1.8706
[23/299] timecost: 65.07, lr: 0.000030, Train: (LOSS: 0.0934, MAE: 0.0934, RMSE: 0.1374, R2: 0.7122), Valid: (LOSS: 0.1003, MAE: 0.1003, RMSE: 0.1480, R2: 0.7040), PNorm: 168.6952, GNorm: 1.3996
[24/299] timecost: 63.42, lr: 0.000030, Train: (LOSS: 0.0900, MAE: 0.0900, RMSE: 0.1328, R2: 0.7341), Valid: (LOSS: 0.0886, MAE: 0.0886, RMSE: 0.1286, R2: 0.7732), PNorm: 168.5497, GNorm: 4.8132
