cuda available with GPU: Tesla V100-PCIE-16GB
==========Load Seed==========
set_random_seed
0
==========Training Start==========
Training Graphs:  2491
Valid Graphs:  277
Test Graphs:  1187
============Loading pretrained weights to generate initialization============
============Creating new layers============
============Creating Model============
Training Graphs Batches:  78
Valid Graphs Batches:  9
Test Graphs Batches:  37
[0/299] timecost: 69.31, lr: 0.000030, Train: (LOSS: 0.2346, MAE: 0.2346, RMSE: 0.2780, R2: -0.1053), Valid: (LOSS: 0.2200, MAE: 0.2200, RMSE: 0.2570, R2: -0.0195), PNorm: 174.4144, GNorm: 0.4339
[1/299] timecost: 62.75, lr: 0.000030, Train: (LOSS: 0.2189, MAE: 0.2189, RMSE: 0.2627, R2: 0.0216), Valid: (LOSS: 0.2115, MAE: 0.2115, RMSE: 0.2472, R2: 0.0557), PNorm: 173.7529, GNorm: 0.7775
[2/299] timecost: 62.84, lr: 0.000030, Train: (LOSS: 0.2099, MAE: 0.2099, RMSE: 0.2534, R2: 0.0884), Valid: (LOSS: 0.1964, MAE: 0.1964, RMSE: 0.2453, R2: 0.0805), PNorm: 173.1922, GNorm: 0.5945
[3/299] timecost: 63.04, lr: 0.000030, Train: (LOSS: 0.1935, MAE: 0.1935, RMSE: 0.2386, R2: 0.1837), Valid: (LOSS: 0.1815, MAE: 0.1815, RMSE: 0.2181, R2: 0.2686), PNorm: 172.7244, GNorm: 2.9163
[4/299] timecost: 63.28, lr: 0.000030, Train: (LOSS: 0.1670, MAE: 0.1670, RMSE: 0.2126, R2: 0.3482), Valid: (LOSS: 0.1411, MAE: 0.1411, RMSE: 0.1817, R2: 0.4924), PNorm: 172.3555, GNorm: 3.3518
[5/299] timecost: 63.05, lr: 0.000030, Train: (LOSS: 0.1483, MAE: 0.1483, RMSE: 0.1956, R2: 0.4413), Valid: (LOSS: 0.1337, MAE: 0.1337, RMSE: 0.1791, R2: 0.5068), PNorm: 172.0374, GNorm: 3.5367
[6/299] timecost: 62.97, lr: 0.000030, Train: (LOSS: 0.1353, MAE: 0.1353, RMSE: 0.1832, R2: 0.5132), Valid: (LOSS: 0.1297, MAE: 0.1297, RMSE: 0.1767, R2: 0.5160), PNorm: 171.7409, GNorm: 1.2712
[7/299] timecost: 63.10, lr: 0.000030, Train: (LOSS: 0.1278, MAE: 0.1278, RMSE: 0.1761, R2: 0.5469), Valid: (LOSS: 0.1406, MAE: 0.1406, RMSE: 0.1820, R2: 0.4805), PNorm: 171.4613, GNorm: 0.9804
[8/299] timecost: 63.05, lr: 0.000030, Train: (LOSS: 0.1284, MAE: 0.1284, RMSE: 0.1772, R2: 0.5393), Valid: (LOSS: 0.1508, MAE: 0.1508, RMSE: 0.1990, R2: 0.3809), PNorm: 171.2046, GNorm: 5.9787
[9/299] timecost: 63.25, lr: 0.000030, Train: (LOSS: 0.1233, MAE: 0.1233, RMSE: 0.1715, R2: 0.5622), Valid: (LOSS: 0.1176, MAE: 0.1176, RMSE: 0.1665, R2: 0.5665), PNorm: 170.9611, GNorm: 2.0359
[10/299] timecost: 65.16, lr: 0.000030, Train: (LOSS: 0.1186, MAE: 0.1186, RMSE: 0.1664, R2: 0.5895), Valid: (LOSS: 0.1258, MAE: 0.1258, RMSE: 0.1713, R2: 0.5416), PNorm: 170.7271, GNorm: 2.4319
[11/299] timecost: 64.98, lr: 0.000030, Train: (LOSS: 0.1156, MAE: 0.1156, RMSE: 0.1619, R2: 0.6168), Valid: (LOSS: 0.1153, MAE: 0.1153, RMSE: 0.1550, R2: 0.6273), PNorm: 170.5030, GNorm: 1.4902
[12/299] timecost: 64.89, lr: 0.000030, Train: (LOSS: 0.1160, MAE: 0.1160, RMSE: 0.1642, R2: 0.6022), Valid: (LOSS: 0.1314, MAE: 0.1314, RMSE: 0.1856, R2: 0.4496), PNorm: 170.2884, GNorm: 1.4474
[13/299] timecost: 65.19, lr: 0.000030, Train: (LOSS: 0.1125, MAE: 0.1125, RMSE: 0.1608, R2: 0.6172), Valid: (LOSS: 0.1076, MAE: 0.1076, RMSE: 0.1502, R2: 0.6339), PNorm: 170.0790, GNorm: 1.1106
[14/299] timecost: 65.17, lr: 0.000030, Train: (LOSS: 0.1094, MAE: 0.1094, RMSE: 0.1574, R2: 0.6379), Valid: (LOSS: 0.1136, MAE: 0.1136, RMSE: 0.1624, R2: 0.5911), PNorm: 169.8760, GNorm: 1.2761
[15/299] timecost: 64.94, lr: 0.000030, Train: (LOSS: 0.1060, MAE: 0.1060, RMSE: 0.1536, R2: 0.6437), Valid: (LOSS: 0.1148, MAE: 0.1148, RMSE: 0.1549, R2: 0.6188), PNorm: 169.6777, GNorm: 1.3132
[16/299] timecost: 64.89, lr: 0.000030, Train: (LOSS: 0.1103, MAE: 0.1103, RMSE: 0.1582, R2: 0.6345), Valid: (LOSS: 0.1172, MAE: 0.1172, RMSE: 0.1567, R2: 0.6118), PNorm: 169.4865, GNorm: 3.0558
[17/299] timecost: 65.17, lr: 0.000030, Train: (LOSS: 0.1052, MAE: 0.1052, RMSE: 0.1514, R2: 0.6550), Valid: (LOSS: 0.1077, MAE: 0.1077, RMSE: 0.1520, R2: 0.6278), PNorm: 169.3018, GNorm: 1.9958
[18/299] timecost: 65.03, lr: 0.000030, Train: (LOSS: 0.1020, MAE: 0.1020, RMSE: 0.1490, R2: 0.6672), Valid: (LOSS: 0.1101, MAE: 0.1101, RMSE: 0.1536, R2: 0.6182), PNorm: 169.1211, GNorm: 2.3741
[19/299] timecost: 64.55, lr: 0.000030, Train: (LOSS: 0.1153, MAE: 0.1153, RMSE: 0.1632, R2: 0.6020), Valid: (LOSS: 0.1190, MAE: 0.1190, RMSE: 0.1576, R2: 0.6084), PNorm: 168.9453, GNorm: 4.8352
[20/299] timecost: 64.76, lr: 0.000030, Train: (LOSS: 0.1013, MAE: 0.1013, RMSE: 0.1454, R2: 0.6809), Valid: (LOSS: 0.1158, MAE: 0.1158, RMSE: 0.1711, R2: 0.5270), PNorm: 168.7752, GNorm: 2.1207
[21/299] timecost: 64.18, lr: 0.000030, Train: (LOSS: 0.0967, MAE: 0.0967, RMSE: 0.1405, R2: 0.7081), Valid: (LOSS: 0.1004, MAE: 0.1004, RMSE: 0.1419, R2: 0.6644), PNorm: 168.6076, GNorm: 2.4875
[22/299] timecost: 63.37, lr: 0.000030, Train: (LOSS: 0.0969, MAE: 0.0969, RMSE: 0.1420, R2: 0.7007), Valid: (LOSS: 0.0966, MAE: 0.0966, RMSE: 0.1333, R2: 0.7216), PNorm: 168.4431, GNorm: 1.5573
[23/299] timecost: 63.63, lr: 0.000030, Train: (LOSS: 0.0894, MAE: 0.0894, RMSE: 0.1307, R2: 0.7439), Valid: (LOSS: 0.0975, MAE: 0.0975, RMSE: 0.1326, R2: 0.7176), PNorm: 168.2805, GNorm: 2.6028
[24/299] timecost: 63.44, lr: 0.000030, Train: (LOSS: 0.0908, MAE: 0.0908, RMSE: 0.1339, R2: 0.7320), Valid: (LOSS: 0.0940, MAE: 0.0940, RMSE: 0.1362, R2: 0.7062), PNorm: 168.1225, GNorm: 1.1640
[25/299] timecost: 63.51, lr: 0.000030, Train: (LOSS: 0.0931, MAE: 0.0931, RMSE: 0.1367, R2: 0.7162), Valid: (LOSS: 0.0909, MAE: 0.0909, RMSE: 0.1289, R2: 0.7202), PNorm: 167.9690, GNorm: 3.3706
[26/299] timecost: 63.72, lr: 0.000030, Train: (LOSS: 0.0829, MAE: 0.0829, RMSE: 0.1232, R2: 0.7740), Valid: (LOSS: 0.0868, MAE: 0.0868, RMSE: 0.1225, R2: 0.7591), PNorm: 167.8150, GNorm: 1.6114
[27/299] timecost: 64.17, lr: 0.000030, Train: (LOSS: 0.0803, MAE: 0.0803, RMSE: 0.1206, R2: 0.7840), Valid: (LOSS: 0.0871, MAE: 0.0871, RMSE: 0.1219, R2: 0.7568), PNorm: 167.6639, GNorm: 1.6399
[28/299] timecost: 64.63, lr: 0.000030, Train: (LOSS: 0.0774, MAE: 0.0774, RMSE: 0.1178, R2: 0.7896), Valid: (LOSS: 0.0842, MAE: 0.0842, RMSE: 0.1213, R2: 0.7689), PNorm: 167.5135, GNorm: 1.6005
[29/299] timecost: 64.49, lr: 0.000030, Train: (LOSS: 0.0800, MAE: 0.0800, RMSE: 0.1213, R2: 0.7739), Valid: (LOSS: 0.0802, MAE: 0.0802, RMSE: 0.1132, R2: 0.7882), PNorm: 167.3655, GNorm: 1.7757
[30/299] timecost: 64.35, lr: 0.000030, Train: (LOSS: 0.0798, MAE: 0.0798, RMSE: 0.1215, R2: 0.7743), Valid: (LOSS: 0.0795, MAE: 0.0795, RMSE: 0.1148, R2: 0.7928), PNorm: 167.2203, GNorm: 1.2156
[31/299] timecost: 64.62, lr: 0.000030, Train: (LOSS: 0.0733, MAE: 0.0733, RMSE: 0.1113, R2: 0.8124), Valid: (LOSS: 0.0772, MAE: 0.0772, RMSE: 0.1152, R2: 0.7784), PNorm: 167.0761, GNorm: 3.2915
[32/299] timecost: 64.63, lr: 0.000030, Train: (LOSS: 0.0766, MAE: 0.0766, RMSE: 0.1164, R2: 0.7950), Valid: (LOSS: 0.0809, MAE: 0.0809, RMSE: 0.1186, R2: 0.7692), PNorm: 166.9355, GNorm: 1.3887
[33/299] timecost: 64.51, lr: 0.000030, Train: (LOSS: 0.0730, MAE: 0.0730, RMSE: 0.1117, R2: 0.8107), Valid: (LOSS: 0.0725, MAE: 0.0725, RMSE: 0.1074, R2: 0.8085), PNorm: 166.7974, GNorm: 4.6965
[34/299] timecost: 64.59, lr: 0.000030, Train: (LOSS: 0.0713, MAE: 0.0713, RMSE: 0.1088, R2: 0.8177), Valid: (LOSS: 0.0737, MAE: 0.0737, RMSE: 0.1071, R2: 0.8091), PNorm: 166.6605, GNorm: 3.3219
[35/299] timecost: 64.43, lr: 0.000030, Train: (LOSS: 0.0666, MAE: 0.0666, RMSE: 0.1022, R2: 0.8399), Valid: (LOSS: 0.0783, MAE: 0.0783, RMSE: 0.1179, R2: 0.7761), PNorm: 166.5252, GNorm: 1.3231
[36/299] timecost: 64.43, lr: 0.000030, Train: (LOSS: 0.0672, MAE: 0.0672, RMSE: 0.1037, R2: 0.8370), Valid: (LOSS: 0.0715, MAE: 0.0715, RMSE: 0.1032, R2: 0.8227), PNorm: 166.3915, GNorm: 1.1475
[37/299] timecost: 64.79, lr: 0.000030, Train: (LOSS: 0.0636, MAE: 0.0636, RMSE: 0.0988, R2: 0.8489), Valid: (LOSS: 0.0627, MAE: 0.0627, RMSE: 0.0965, R2: 0.8432), PNorm: 166.2590, GNorm: 4.4677
[38/299] timecost: 64.98, lr: 0.000030, Train: (LOSS: 0.0592, MAE: 0.0592, RMSE: 0.0933, R2: 0.8652), Valid: (LOSS: 0.0575, MAE: 0.0575, RMSE: 0.0835, R2: 0.8791), PNorm: 166.1259, GNorm: 1.2727
[39/299] timecost: 64.83, lr: 0.000030, Train: (LOSS: 0.0601, MAE: 0.0601, RMSE: 0.0941, R2: 0.8630), Valid: (LOSS: 0.0595, MAE: 0.0595, RMSE: 0.0886, R2: 0.8667), PNorm: 165.9963, GNorm: 2.0717
[40/299] timecost: 64.23, lr: 0.000030, Train: (LOSS: 0.0583, MAE: 0.0583, RMSE: 0.0911, R2: 0.8698), Valid: (LOSS: 0.0586, MAE: 0.0586, RMSE: 0.0867, R2: 0.8725), PNorm: 165.8662, GNorm: 1.2792
[41/299] timecost: 63.73, lr: 0.000030, Train: (LOSS: 0.0571, MAE: 0.0571, RMSE: 0.0896, R2: 0.8740), Valid: (LOSS: 0.0620, MAE: 0.0620, RMSE: 0.0900, R2: 0.8635), PNorm: 165.7379, GNorm: 2.4230
[42/299] timecost: 64.63, lr: 0.000030, Train: (LOSS: 0.0586, MAE: 0.0586, RMSE: 0.0899, R2: 0.8726), Valid: (LOSS: 0.0606, MAE: 0.0606, RMSE: 0.0934, R2: 0.8446), PNorm: 165.6108, GNorm: 1.9170
[43/299] timecost: 64.47, lr: 0.000030, Train: (LOSS: 0.0560, MAE: 0.0560, RMSE: 0.0890, R2: 0.8764), Valid: (LOSS: 0.0609, MAE: 0.0609, RMSE: 0.0927, R2: 0.8491), PNorm: 165.4851, GNorm: 1.2378
[44/299] timecost: 64.74, lr: 0.000030, Train: (LOSS: 0.0515, MAE: 0.0515, RMSE: 0.0828, R2: 0.8940), Valid: (LOSS: 0.0538, MAE: 0.0538, RMSE: 0.0797, R2: 0.8923), PNorm: 165.3569, GNorm: 1.5893
[45/299] timecost: 64.57, lr: 0.000030, Train: (LOSS: 0.0530, MAE: 0.0530, RMSE: 0.0854, R2: 0.8866), Valid: (LOSS: 0.0588, MAE: 0.0588, RMSE: 0.0894, R2: 0.8670), PNorm: 165.2320, GNorm: 1.4070
[46/299] timecost: 63.99, lr: 0.000030, Train: (LOSS: 0.0522, MAE: 0.0522, RMSE: 0.0820, R2: 0.8941), Valid: (LOSS: 0.0556, MAE: 0.0556, RMSE: 0.0837, R2: 0.8780), PNorm: 165.1072, GNorm: 1.2070
[47/299] timecost: 63.92, lr: 0.000030, Train: (LOSS: 0.0499, MAE: 0.0499, RMSE: 0.0810, R2: 0.8968), Valid: (LOSS: 0.0533, MAE: 0.0533, RMSE: 0.0813, R2: 0.8822), PNorm: 164.9812, GNorm: 2.6551
[48/299] timecost: 63.12, lr: 0.000030, Train: (LOSS: 0.0507, MAE: 0.0507, RMSE: 0.0793, R2: 0.9030), Valid: (LOSS: 0.0517, MAE: 0.0517, RMSE: 0.0791, R2: 0.8891), PNorm: 164.8563, GNorm: 1.7795
