cuda available with GPU: Tesla V100-PCIE-16GB
==========Load Seed==========
set_random_seed
0
==========Training Start==========
Training Graphs:  2491
Valid Graphs:  277
Test Graphs:  1187
============Not pretrained weights used============
============Creating new layers============
============Creating Model============
Training Graphs Batches:  78
Valid Graphs Batches:  9
Test Graphs Batches:  37
[0/299] timecost: 66.12, lr: 0.000100, Train: (LOSS: 0.2072, MAE: 0.2072, RMSE: 0.2570, R2: 0.0368), Valid: (LOSS: 0.1755, MAE: 0.1755, RMSE: 0.2236, R2: 0.2711), PNorm: 187.0409, GNorm: 0.5000
[1/299] timecost: 61.64, lr: 0.000100, Train: (LOSS: 0.1691, MAE: 0.1691, RMSE: 0.2189, R2: 0.2883), Valid: (LOSS: 0.1647, MAE: 0.1647, RMSE: 0.2032, R2: 0.3944), PNorm: 187.0757, GNorm: 0.5000
[2/299] timecost: 62.38, lr: 0.000100, Train: (LOSS: 0.1556, MAE: 0.1556, RMSE: 0.2063, R2: 0.3777), Valid: (LOSS: 0.1817, MAE: 0.1817, RMSE: 0.2364, R2: 0.1682), PNorm: 187.1098, GNorm: 0.5000
[3/299] timecost: 62.44, lr: 0.000100, Train: (LOSS: 0.1472, MAE: 0.1472, RMSE: 0.1956, R2: 0.4454), Valid: (LOSS: 0.1437, MAE: 0.1437, RMSE: 0.1882, R2: 0.4758), PNorm: 187.1559, GNorm: 0.5000
[4/299] timecost: 61.99, lr: 0.000100, Train: (LOSS: 0.1381, MAE: 0.1381, RMSE: 0.1887, R2: 0.4814), Valid: (LOSS: 0.1444, MAE: 0.1444, RMSE: 0.1837, R2: 0.4983), PNorm: 187.2030, GNorm: 0.5000
[5/299] timecost: 62.16, lr: 0.000100, Train: (LOSS: 0.1303, MAE: 0.1303, RMSE: 0.1797, R2: 0.5230), Valid: (LOSS: 0.1401, MAE: 0.1401, RMSE: 0.1791, R2: 0.5233), PNorm: 187.2330, GNorm: 0.5000
[6/299] timecost: 62.36, lr: 0.000100, Train: (LOSS: 0.1267, MAE: 0.1267, RMSE: 0.1768, R2: 0.5267), Valid: (LOSS: 0.1462, MAE: 0.1462, RMSE: 0.2033, R2: 0.3893), PNorm: 187.2551, GNorm: 0.5000
[7/299] timecost: 62.61, lr: 0.000100, Train: (LOSS: 0.1213, MAE: 0.1213, RMSE: 0.1694, R2: 0.5798), Valid: (LOSS: 0.1324, MAE: 0.1324, RMSE: 0.1792, R2: 0.5246), PNorm: 187.2785, GNorm: 0.5000
[8/299] timecost: 62.68, lr: 0.000100, Train: (LOSS: 0.1177, MAE: 0.1177, RMSE: 0.1675, R2: 0.5838), Valid: (LOSS: 0.1277, MAE: 0.1277, RMSE: 0.1764, R2: 0.5454), PNorm: 187.3058, GNorm: 0.5000
[9/299] timecost: 64.42, lr: 0.000100, Train: (LOSS: 0.1235, MAE: 0.1235, RMSE: 0.1723, R2: 0.5586), Valid: (LOSS: 0.1241, MAE: 0.1241, RMSE: 0.1695, R2: 0.5765), PNorm: 187.3349, GNorm: 0.5000
[10/299] timecost: 64.54, lr: 0.000100, Train: (LOSS: 0.1182, MAE: 0.1182, RMSE: 0.1667, R2: 0.5888), Valid: (LOSS: 0.1322, MAE: 0.1322, RMSE: 0.1854, R2: 0.4973), PNorm: 187.3615, GNorm: 0.4894
[11/299] timecost: 63.66, lr: 0.000100, Train: (LOSS: 0.1157, MAE: 0.1157, RMSE: 0.1660, R2: 0.5998), Valid: (LOSS: 0.1281, MAE: 0.1281, RMSE: 0.1782, R2: 0.5309), PNorm: 187.3957, GNorm: 0.5000
[12/299] timecost: 62.60, lr: 0.000100, Train: (LOSS: 0.1032, MAE: 0.1032, RMSE: 0.1508, R2: 0.6550), Valid: (LOSS: 0.1077, MAE: 0.1077, RMSE: 0.1557, R2: 0.6435), PNorm: 187.4284, GNorm: 0.5000
