cuda available with GPU: Tesla V100-PCIE-16GB
==========Load Seed==========
set_random_seed
0
==========Training Start==========
Training Graphs:  2491
Valid Graphs:  277
Test Graphs:  1187
============Loading pretrained weights to generate initialization============
============Creating new layers============
============Creating Model============
Training Graphs Batches:  78
Valid Graphs Batches:  9
Test Graphs Batches:  37
[0/299] timecost: 65.49, lr: 0.000030, Train: (LOSS: 0.2267, MAE: 0.2267, RMSE: 0.2693, R2: -0.0499), Valid: (LOSS: 0.2234, MAE: 0.2234, RMSE: 0.2691, R2: 0.0029), PNorm: 174.3893, GNorm: 0.3546
[1/299] timecost: 64.27, lr: 0.000030, Train: (LOSS: 0.2186, MAE: 0.2186, RMSE: 0.2631, R2: 0.0101), Valid: (LOSS: 0.2159, MAE: 0.2159, RMSE: 0.2575, R2: 0.0851), PNorm: 173.7017, GNorm: 1.0242
[2/299] timecost: 64.57, lr: 0.000030, Train: (LOSS: 0.2000, MAE: 0.2000, RMSE: 0.2437, R2: 0.1291), Valid: (LOSS: 0.1947, MAE: 0.1947, RMSE: 0.2366, R2: 0.2128), PNorm: 173.1684, GNorm: 0.9658
[3/299] timecost: 64.54, lr: 0.000030, Train: (LOSS: 0.1781, MAE: 0.1781, RMSE: 0.2236, R2: 0.2668), Valid: (LOSS: 0.1653, MAE: 0.1653, RMSE: 0.2126, R2: 0.3494), PNorm: 172.7721, GNorm: 12.2285
[4/299] timecost: 64.22, lr: 0.000030, Train: (LOSS: 0.1649, MAE: 0.1649, RMSE: 0.2116, R2: 0.3316), Valid: (LOSS: 0.1637, MAE: 0.1637, RMSE: 0.2116, R2: 0.3763), PNorm: 172.4578, GNorm: 3.5468
[5/299] timecost: 64.36, lr: 0.000030, Train: (LOSS: 0.1430, MAE: 0.1430, RMSE: 0.1895, R2: 0.4682), Valid: (LOSS: 0.1576, MAE: 0.1576, RMSE: 0.2032, R2: 0.4134), PNorm: 172.1618, GNorm: 3.0412
[6/299] timecost: 64.10, lr: 0.000030, Train: (LOSS: 0.1395, MAE: 0.1395, RMSE: 0.1886, R2: 0.4756), Valid: (LOSS: 0.1392, MAE: 0.1392, RMSE: 0.1847, R2: 0.5158), PNorm: 171.8824, GNorm: 2.7128
[7/299] timecost: 64.39, lr: 0.000030, Train: (LOSS: 0.1344, MAE: 0.1344, RMSE: 0.1829, R2: 0.4915), Valid: (LOSS: 0.1337, MAE: 0.1337, RMSE: 0.1790, R2: 0.5466), PNorm: 171.6151, GNorm: 1.6754
[8/299] timecost: 64.46, lr: 0.000030, Train: (LOSS: 0.1420, MAE: 0.1420, RMSE: 0.1896, R2: 0.4607), Valid: (LOSS: 0.1313, MAE: 0.1313, RMSE: 0.1774, R2: 0.5552), PNorm: 171.3669, GNorm: 1.9384
[9/299] timecost: 64.10, lr: 0.000030, Train: (LOSS: 0.1304, MAE: 0.1304, RMSE: 0.1776, R2: 0.5225), Valid: (LOSS: 0.1288, MAE: 0.1288, RMSE: 0.1762, R2: 0.5575), PNorm: 171.1307, GNorm: 3.7584
[10/299] timecost: 64.15, lr: 0.000030, Train: (LOSS: 0.1208, MAE: 0.1208, RMSE: 0.1681, R2: 0.5850), Valid: (LOSS: 0.1380, MAE: 0.1380, RMSE: 0.1893, R2: 0.4949), PNorm: 170.9015, GNorm: 8.5053
[11/299] timecost: 63.31, lr: 0.000030, Train: (LOSS: 0.1228, MAE: 0.1228, RMSE: 0.1687, R2: 0.5724), Valid: (LOSS: 0.1236, MAE: 0.1236, RMSE: 0.1672, R2: 0.6155), PNorm: 170.6826, GNorm: 2.3479
[12/299] timecost: 63.42, lr: 0.000030, Train: (LOSS: 0.1190, MAE: 0.1190, RMSE: 0.1647, R2: 0.5970), Valid: (LOSS: 0.1261, MAE: 0.1261, RMSE: 0.1707, R2: 0.5886), PNorm: 170.4677, GNorm: 1.2717
[13/299] timecost: 64.27, lr: 0.000030, Train: (LOSS: 0.1170, MAE: 0.1170, RMSE: 0.1632, R2: 0.5986), Valid: (LOSS: 0.1248, MAE: 0.1248, RMSE: 0.1689, R2: 0.6096), PNorm: 170.2607, GNorm: 1.9045
[14/299] timecost: 64.99, lr: 0.000030, Train: (LOSS: 0.1123, MAE: 0.1123, RMSE: 0.1596, R2: 0.6160), Valid: (LOSS: 0.1258, MAE: 0.1258, RMSE: 0.1716, R2: 0.5790), PNorm: 170.0575, GNorm: 2.4634
[15/299] timecost: 64.91, lr: 0.000030, Train: (LOSS: 0.1136, MAE: 0.1136, RMSE: 0.1608, R2: 0.6154), Valid: (LOSS: 0.1116, MAE: 0.1116, RMSE: 0.1506, R2: 0.6867), PNorm: 169.8617, GNorm: 1.2279
[16/299] timecost: 65.31, lr: 0.000030, Train: (LOSS: 0.1060, MAE: 0.1060, RMSE: 0.1510, R2: 0.6533), Valid: (LOSS: 0.1000, MAE: 0.1000, RMSE: 0.1381, R2: 0.7325), PNorm: 169.6712, GNorm: 3.0822
[17/299] timecost: 64.12, lr: 0.000030, Train: (LOSS: 0.1035, MAE: 0.1035, RMSE: 0.1496, R2: 0.6612), Valid: (LOSS: 0.1214, MAE: 0.1214, RMSE: 0.1662, R2: 0.5952), PNorm: 169.4874, GNorm: 2.2364
[18/299] timecost: 63.79, lr: 0.000030, Train: (LOSS: 0.1023, MAE: 0.1023, RMSE: 0.1470, R2: 0.6723), Valid: (LOSS: 0.0976, MAE: 0.0976, RMSE: 0.1408, R2: 0.7250), PNorm: 169.3099, GNorm: 1.2522
[19/299] timecost: 63.41, lr: 0.000030, Train: (LOSS: 0.1004, MAE: 0.1004, RMSE: 0.1462, R2: 0.6695), Valid: (LOSS: 0.0995, MAE: 0.0995, RMSE: 0.1406, R2: 0.7263), PNorm: 169.1342, GNorm: 1.0494
[20/299] timecost: 63.40, lr: 0.000030, Train: (LOSS: 0.0979, MAE: 0.0979, RMSE: 0.1445, R2: 0.6851), Valid: (LOSS: 0.0938, MAE: 0.0938, RMSE: 0.1327, R2: 0.7500), PNorm: 168.9636, GNorm: 3.9879
[21/299] timecost: 63.43, lr: 0.000030, Train: (LOSS: 0.0959, MAE: 0.0959, RMSE: 0.1399, R2: 0.6994), Valid: (LOSS: 0.0917, MAE: 0.0917, RMSE: 0.1302, R2: 0.7607), PNorm: 168.7958, GNorm: 1.1283
[22/299] timecost: 63.72, lr: 0.000030, Train: (LOSS: 0.0919, MAE: 0.0919, RMSE: 0.1362, R2: 0.7082), Valid: (LOSS: 0.1020, MAE: 0.1020, RMSE: 0.1447, R2: 0.7014), PNorm: 168.6293, GNorm: 3.5379
[23/299] timecost: 63.95, lr: 0.000030, Train: (LOSS: 0.0915, MAE: 0.0915, RMSE: 0.1356, R2: 0.7137), Valid: (LOSS: 0.0990, MAE: 0.0990, RMSE: 0.1364, R2: 0.7311), PNorm: 168.4664, GNorm: 1.6492
[24/299] timecost: 63.93, lr: 0.000030, Train: (LOSS: 0.0920, MAE: 0.0920, RMSE: 0.1349, R2: 0.7219), Valid: (LOSS: 0.0971, MAE: 0.0971, RMSE: 0.1435, R2: 0.6997), PNorm: 168.3070, GNorm: 3.0097
