cuda available with GPU: Tesla V100-PCIE-16GB
==========Load Seed==========
set_random_seed
0
==========Training Start==========
Training Graphs:  2491
Valid Graphs:  277
Test Graphs:  1187
============Loading pretrained weights to generate initialization============
============Creating new layers============
============Creating Model============
Training Graphs Batches:  78
Valid Graphs Batches:  9
Test Graphs Batches:  37
[0/299] timecost: 64.29, lr: 0.000030, Train: (LOSS: 0.2369, MAE: 0.2369, RMSE: 0.2792, R2: -0.0858), Valid: (LOSS: 0.2261, MAE: 0.2261, RMSE: 0.2578, R2: 0.0677), PNorm: 174.3257, GNorm: 0.3671
[1/299] timecost: 63.37, lr: 0.000030, Train: (LOSS: 0.2245, MAE: 0.2245, RMSE: 0.2675, R2: -0.0163), Valid: (LOSS: 0.2190, MAE: 0.2190, RMSE: 0.2524, R2: 0.0968), PNorm: 173.7057, GNorm: 1.4805
[2/299] timecost: 63.76, lr: 0.000030, Train: (LOSS: 0.2042, MAE: 0.2042, RMSE: 0.2483, R2: 0.1382), Valid: (LOSS: 0.1986, MAE: 0.1986, RMSE: 0.2401, R2: 0.1612), PNorm: 173.2578, GNorm: 0.4705
[3/299] timecost: 64.40, lr: 0.000030, Train: (LOSS: 0.1856, MAE: 0.1856, RMSE: 0.2325, R2: 0.2395), Valid: (LOSS: 0.1830, MAE: 0.1830, RMSE: 0.2312, R2: 0.1843), PNorm: 172.8832, GNorm: 4.6244
[4/299] timecost: 64.77, lr: 0.000030, Train: (LOSS: 0.1633, MAE: 0.1633, RMSE: 0.2102, R2: 0.3665), Valid: (LOSS: 0.1445, MAE: 0.1445, RMSE: 0.1944, R2: 0.4298), PNorm: 172.5580, GNorm: 1.2032
[5/299] timecost: 64.07, lr: 0.000030, Train: (LOSS: 0.1456, MAE: 0.1456, RMSE: 0.1929, R2: 0.4670), Valid: (LOSS: 0.1331, MAE: 0.1331, RMSE: 0.1817, R2: 0.5089), PNorm: 172.2486, GNorm: 3.5132
[6/299] timecost: 63.79, lr: 0.000030, Train: (LOSS: 0.1326, MAE: 0.1326, RMSE: 0.1796, R2: 0.5494), Valid: (LOSS: 0.1314, MAE: 0.1314, RMSE: 0.1756, R2: 0.5269), PNorm: 171.9441, GNorm: 0.6923
[7/299] timecost: 64.01, lr: 0.000030, Train: (LOSS: 0.1306, MAE: 0.1306, RMSE: 0.1779, R2: 0.5367), Valid: (LOSS: 0.1303, MAE: 0.1303, RMSE: 0.1747, R2: 0.5460), PNorm: 171.6446, GNorm: 3.0297
[8/299] timecost: 63.32, lr: 0.000030, Train: (LOSS: 0.1296, MAE: 0.1296, RMSE: 0.1772, R2: 0.5442), Valid: (LOSS: 0.1218, MAE: 0.1218, RMSE: 0.1711, R2: 0.5598), PNorm: 171.3547, GNorm: 1.5445
[9/299] timecost: 63.36, lr: 0.000030, Train: (LOSS: 0.1276, MAE: 0.1276, RMSE: 0.1767, R2: 0.5380), Valid: (LOSS: 0.1102, MAE: 0.1102, RMSE: 0.1580, R2: 0.6193), PNorm: 171.0712, GNorm: 1.3663
[10/299] timecost: 63.86, lr: 0.000030, Train: (LOSS: 0.1274, MAE: 0.1274, RMSE: 0.1756, R2: 0.5566), Valid: (LOSS: 0.1107, MAE: 0.1107, RMSE: 0.1592, R2: 0.6089), PNorm: 170.7946, GNorm: 3.2455
