cuda available with GPU: Tesla V100-PCIE-16GB
==========Load Seed==========
set_random_seed
0
==========Training Start==========
Training Graphs:  2491
Valid Graphs:  277
Test Graphs:  1187
============Loading pretrained weights to generate initialization============
============Creating new layers============
============Creating Model============
Training Graphs Batches:  78
Valid Graphs Batches:  9
Test Graphs Batches:  37
[0/299] timecost: 71.00, lr: 0.000030, Train: (LOSS: 0.2341, MAE: 0.2341, RMSE: 0.2767, R2: -0.0768), Valid: (LOSS: 0.2329, MAE: 0.2329, RMSE: 0.2690, R2: 0.0252), PNorm: 174.3309, GNorm: 0.1828
[1/299] timecost: 64.90, lr: 0.000030, Train: (LOSS: 0.2182, MAE: 0.2182, RMSE: 0.2617, R2: 0.0257), Valid: (LOSS: 0.2237, MAE: 0.2237, RMSE: 0.2591, R2: 0.0946), PNorm: 173.6582, GNorm: 0.9840
[2/299] timecost: 64.74, lr: 0.000030, Train: (LOSS: 0.2064, MAE: 0.2064, RMSE: 0.2489, R2: 0.1272), Valid: (LOSS: 0.2257, MAE: 0.2257, RMSE: 0.2579, R2: 0.1019), PNorm: 173.1138, GNorm: 1.0398
[3/299] timecost: 65.23, lr: 0.000030, Train: (LOSS: 0.1996, MAE: 0.1996, RMSE: 0.2442, R2: 0.1389), Valid: (LOSS: 0.1921, MAE: 0.1921, RMSE: 0.2372, R2: 0.2389), PNorm: 172.6792, GNorm: 2.0473
[4/299] timecost: 65.37, lr: 0.000030, Train: (LOSS: 0.1756, MAE: 0.1756, RMSE: 0.2230, R2: 0.2866), Valid: (LOSS: 0.1722, MAE: 0.1722, RMSE: 0.2084, R2: 0.4080), PNorm: 172.3272, GNorm: 1.4630
[5/299] timecost: 65.80, lr: 0.000030, Train: (LOSS: 0.1473, MAE: 0.1473, RMSE: 0.1948, R2: 0.4492), Valid: (LOSS: 0.1435, MAE: 0.1435, RMSE: 0.1865, R2: 0.5238), PNorm: 172.0175, GNorm: 1.7086
[6/299] timecost: 65.94, lr: 0.000030, Train: (LOSS: 0.1451, MAE: 0.1451, RMSE: 0.1931, R2: 0.4602), Valid: (LOSS: 0.1328, MAE: 0.1328, RMSE: 0.1774, R2: 0.5581), PNorm: 171.7306, GNorm: 2.5685
[7/299] timecost: 65.56, lr: 0.000030, Train: (LOSS: 0.1342, MAE: 0.1342, RMSE: 0.1809, R2: 0.5243), Valid: (LOSS: 0.1377, MAE: 0.1377, RMSE: 0.1844, R2: 0.5252), PNorm: 171.4562, GNorm: 1.1429
[8/299] timecost: 64.87, lr: 0.000030, Train: (LOSS: 0.1307, MAE: 0.1307, RMSE: 0.1796, R2: 0.5306), Valid: (LOSS: 0.1230, MAE: 0.1230, RMSE: 0.1636, R2: 0.6312), PNorm: 171.1958, GNorm: 0.9678
[9/299] timecost: 64.80, lr: 0.000030, Train: (LOSS: 0.1310, MAE: 0.1310, RMSE: 0.1766, R2: 0.5344), Valid: (LOSS: 0.1212, MAE: 0.1212, RMSE: 0.1668, R2: 0.6137), PNorm: 170.9472, GNorm: 1.4885
[10/299] timecost: 65.12, lr: 0.000030, Train: (LOSS: 0.1212, MAE: 0.1212, RMSE: 0.1687, R2: 0.5803), Valid: (LOSS: 0.1246, MAE: 0.1246, RMSE: 0.1670, R2: 0.6196), PNorm: 170.7094, GNorm: 1.9575
[11/299] timecost: 64.14, lr: 0.000030, Train: (LOSS: 0.1198, MAE: 0.1198, RMSE: 0.1666, R2: 0.5982), Valid: (LOSS: 0.1290, MAE: 0.1290, RMSE: 0.1887, R2: 0.4909), PNorm: 170.4830, GNorm: 2.0713
[12/299] timecost: 64.13, lr: 0.000030, Train: (LOSS: 0.1157, MAE: 0.1157, RMSE: 0.1642, R2: 0.6098), Valid: (LOSS: 0.1112, MAE: 0.1112, RMSE: 0.1519, R2: 0.6764), PNorm: 170.2630, GNorm: 1.1382
[13/299] timecost: 64.60, lr: 0.000030, Train: (LOSS: 0.1076, MAE: 0.1076, RMSE: 0.1542, R2: 0.6402), Valid: (LOSS: 0.1272, MAE: 0.1272, RMSE: 0.1766, R2: 0.5540), PNorm: 170.0484, GNorm: 1.1775
[14/299] timecost: 64.49, lr: 0.000030, Train: (LOSS: 0.1142, MAE: 0.1142, RMSE: 0.1614, R2: 0.6178), Valid: (LOSS: 0.1324, MAE: 0.1324, RMSE: 0.1846, R2: 0.5338), PNorm: 169.8440, GNorm: 1.5202
[15/299] timecost: 64.22, lr: 0.000030, Train: (LOSS: 0.1094, MAE: 0.1094, RMSE: 0.1551, R2: 0.6430), Valid: (LOSS: 0.1125, MAE: 0.1125, RMSE: 0.1592, R2: 0.6524), PNorm: 169.6459, GNorm: 1.5412
[16/299] timecost: 64.72, lr: 0.000030, Train: (LOSS: 0.1020, MAE: 0.1020, RMSE: 0.1479, R2: 0.6696), Valid: (LOSS: 0.1086, MAE: 0.1086, RMSE: 0.1583, R2: 0.6316), PNorm: 169.4547, GNorm: 1.7286
[17/299] timecost: 64.22, lr: 0.000030, Train: (LOSS: 0.1036, MAE: 0.1036, RMSE: 0.1483, R2: 0.6687), Valid: (LOSS: 0.0961, MAE: 0.0961, RMSE: 0.1349, R2: 0.7456), PNorm: 169.2712, GNorm: 1.0750
[18/299] timecost: 64.76, lr: 0.000030, Train: (LOSS: 0.0979, MAE: 0.0979, RMSE: 0.1423, R2: 0.7005), Valid: (LOSS: 0.0914, MAE: 0.0914, RMSE: 0.1308, R2: 0.7583), PNorm: 169.0921, GNorm: 1.7994
[19/299] timecost: 67.85, lr: 0.000030, Train: (LOSS: 0.0957, MAE: 0.0957, RMSE: 0.1393, R2: 0.7068), Valid: (LOSS: 0.1007, MAE: 0.1007, RMSE: 0.1445, R2: 0.7108), PNorm: 168.9189, GNorm: 1.9515
[20/299] timecost: 67.87, lr: 0.000030, Train: (LOSS: 0.0983, MAE: 0.0983, RMSE: 0.1440, R2: 0.6859), Valid: (LOSS: 0.0915, MAE: 0.0915, RMSE: 0.1278, R2: 0.7675), PNorm: 168.7505, GNorm: 2.4658
[21/299] timecost: 67.86, lr: 0.000030, Train: (LOSS: 0.0993, MAE: 0.0993, RMSE: 0.1446, R2: 0.6834), Valid: (LOSS: 0.0891, MAE: 0.0891, RMSE: 0.1290, R2: 0.7657), PNorm: 168.5870, GNorm: 1.7822
[22/299] timecost: 67.87, lr: 0.000030, Train: (LOSS: 0.0884, MAE: 0.0884, RMSE: 0.1302, R2: 0.7355), Valid: (LOSS: 0.0991, MAE: 0.0991, RMSE: 0.1374, R2: 0.7322), PNorm: 168.4243, GNorm: 1.6784
[23/299] timecost: 66.69, lr: 0.000030, Train: (LOSS: 0.0865, MAE: 0.0865, RMSE: 0.1256, R2: 0.7606), Valid: (LOSS: 0.0927, MAE: 0.0927, RMSE: 0.1388, R2: 0.7255), PNorm: 168.2658, GNorm: 1.2636
[24/299] timecost: 66.16, lr: 0.000030, Train: (LOSS: 0.0866, MAE: 0.0866, RMSE: 0.1305, R2: 0.7455), Valid: (LOSS: 0.0824, MAE: 0.0824, RMSE: 0.1217, R2: 0.7939), PNorm: 168.1100, GNorm: 2.0684
[25/299] timecost: 66.35, lr: 0.000030, Train: (LOSS: 0.0808, MAE: 0.0808, RMSE: 0.1210, R2: 0.7808), Valid: (LOSS: 0.0849, MAE: 0.0849, RMSE: 0.1244, R2: 0.7811), PNorm: 167.9547, GNorm: 1.8933
[26/299] timecost: 65.57, lr: 0.000030, Train: (LOSS: 0.0803, MAE: 0.0803, RMSE: 0.1208, R2: 0.7810), Valid: (LOSS: 0.0952, MAE: 0.0952, RMSE: 0.1450, R2: 0.7028), PNorm: 167.8045, GNorm: 5.6271
[27/299] timecost: 65.16, lr: 0.000030, Train: (LOSS: 0.0804, MAE: 0.0804, RMSE: 0.1222, R2: 0.7728), Valid: (LOSS: 0.0889, MAE: 0.0889, RMSE: 0.1334, R2: 0.7497), PNorm: 167.6549, GNorm: 0.9743
[28/299] timecost: 65.21, lr: 0.000030, Train: (LOSS: 0.0793, MAE: 0.0793, RMSE: 0.1216, R2: 0.7760), Valid: (LOSS: 0.0914, MAE: 0.0914, RMSE: 0.1387, R2: 0.7326), PNorm: 167.5096, GNorm: 2.1899
[29/299] timecost: 64.87, lr: 0.000030, Train: (LOSS: 0.0828, MAE: 0.0828, RMSE: 0.1254, R2: 0.7607), Valid: (LOSS: 0.0778, MAE: 0.0778, RMSE: 0.1168, R2: 0.8047), PNorm: 167.3668, GNorm: 1.5663
[30/299] timecost: 64.59, lr: 0.000030, Train: (LOSS: 0.0773, MAE: 0.0773, RMSE: 0.1194, R2: 0.7834), Valid: (LOSS: 0.0955, MAE: 0.0955, RMSE: 0.1371, R2: 0.7338), PNorm: 167.2260, GNorm: 1.2369
[31/299] timecost: 64.65, lr: 0.000030, Train: (LOSS: 0.0741, MAE: 0.0741, RMSE: 0.1146, R2: 0.8022), Valid: (LOSS: 0.0813, MAE: 0.0813, RMSE: 0.1252, R2: 0.7788), PNorm: 167.0856, GNorm: 1.8874
[32/299] timecost: 64.79, lr: 0.000030, Train: (LOSS: 0.0737, MAE: 0.0737, RMSE: 0.1139, R2: 0.8046), Valid: (LOSS: 0.0770, MAE: 0.0770, RMSE: 0.1145, R2: 0.8106), PNorm: 166.9446, GNorm: 1.8108
[33/299] timecost: 64.51, lr: 0.000030, Train: (LOSS: 0.0706, MAE: 0.0706, RMSE: 0.1111, R2: 0.8088), Valid: (LOSS: 0.0768, MAE: 0.0768, RMSE: 0.1147, R2: 0.8139), PNorm: 166.8041, GNorm: 1.1644
[34/299] timecost: 64.55, lr: 0.000030, Train: (LOSS: 0.0722, MAE: 0.0722, RMSE: 0.1128, R2: 0.8084), Valid: (LOSS: 0.0856, MAE: 0.0856, RMSE: 0.1278, R2: 0.7708), PNorm: 166.6668, GNorm: 1.7249
[35/299] timecost: 64.14, lr: 0.000030, Train: (LOSS: 0.0711, MAE: 0.0711, RMSE: 0.1119, R2: 0.8158), Valid: (LOSS: 0.0759, MAE: 0.0759, RMSE: 0.1162, R2: 0.8099), PNorm: 166.5292, GNorm: 1.8714
[36/299] timecost: 64.73, lr: 0.000030, Train: (LOSS: 0.0698, MAE: 0.0698, RMSE: 0.1100, R2: 0.8188), Valid: (LOSS: 0.0746, MAE: 0.0746, RMSE: 0.1102, R2: 0.8255), PNorm: 166.3933, GNorm: 3.6529
[37/299] timecost: 64.55, lr: 0.000030, Train: (LOSS: 0.0679, MAE: 0.0679, RMSE: 0.1072, R2: 0.8212), Valid: (LOSS: 0.0748, MAE: 0.0748, RMSE: 0.1106, R2: 0.8233), PNorm: 166.2576, GNorm: 1.8423
[38/299] timecost: 64.76, lr: 0.000030, Train: (LOSS: 0.0679, MAE: 0.0679, RMSE: 0.1086, R2: 0.8194), Valid: (LOSS: 0.0772, MAE: 0.0772, RMSE: 0.1196, R2: 0.7967), PNorm: 166.1250, GNorm: 0.9140
[39/299] timecost: 64.29, lr: 0.000030, Train: (LOSS: 0.0691, MAE: 0.0691, RMSE: 0.1092, R2: 0.8211), Valid: (LOSS: 0.0728, MAE: 0.0728, RMSE: 0.1067, R2: 0.8379), PNorm: 165.9935, GNorm: 2.0381
