cuda available with GPU: Tesla V100-PCIE-16GB
==========Load Seed==========
set_random_seed
0
==========Training Start==========
Training Graphs:  2491
Valid Graphs:  277
Test Graphs:  1187
============Not pretrained weights used============
============Creating new layers============
============Creating Model============
Training Graphs Batches:  78
Valid Graphs Batches:  9
Test Graphs Batches:  37
[0/299] timecost: 64.06, lr: 0.000100, Train: (LOSS: 0.2109, MAE: 0.2109, RMSE: 0.2609, R2: 0.0188), Valid: (LOSS: 0.1814, MAE: 0.1814, RMSE: 0.2297, R2: 0.2661), PNorm: 187.0380, GNorm: 0.3614
[1/299] timecost: 62.05, lr: 0.000100, Train: (LOSS: 0.1679, MAE: 0.1679, RMSE: 0.2185, R2: 0.3251), Valid: (LOSS: 0.1476, MAE: 0.1476, RMSE: 0.1920, R2: 0.4804), PNorm: 187.0756, GNorm: 0.5000
[2/299] timecost: 62.05, lr: 0.000100, Train: (LOSS: 0.1460, MAE: 0.1460, RMSE: 0.1943, R2: 0.4485), Valid: (LOSS: 0.1322, MAE: 0.1322, RMSE: 0.1831, R2: 0.5180), PNorm: 187.1052, GNorm: 0.5000
[3/299] timecost: 61.81, lr: 0.000100, Train: (LOSS: 0.1389, MAE: 0.1389, RMSE: 0.1890, R2: 0.4735), Valid: (LOSS: 0.1534, MAE: 0.1534, RMSE: 0.1983, R2: 0.4557), PNorm: 187.1259, GNorm: 0.5000
[4/299] timecost: 63.24, lr: 0.000100, Train: (LOSS: 0.1393, MAE: 0.1393, RMSE: 0.1890, R2: 0.4653), Valid: (LOSS: 0.1220, MAE: 0.1220, RMSE: 0.1625, R2: 0.6287), PNorm: 187.1450, GNorm: 0.5000
[5/299] timecost: 62.24, lr: 0.000100, Train: (LOSS: 0.1339, MAE: 0.1339, RMSE: 0.1825, R2: 0.5177), Valid: (LOSS: 0.1248, MAE: 0.1248, RMSE: 0.1701, R2: 0.5942), PNorm: 187.1602, GNorm: 0.4124
[6/299] timecost: 61.82, lr: 0.000100, Train: (LOSS: 0.1269, MAE: 0.1269, RMSE: 0.1759, R2: 0.5379), Valid: (LOSS: 0.1184, MAE: 0.1184, RMSE: 0.1648, R2: 0.6177), PNorm: 187.1828, GNorm: 0.5000
[7/299] timecost: 61.97, lr: 0.000100, Train: (LOSS: 0.1250, MAE: 0.1250, RMSE: 0.1712, R2: 0.5650), Valid: (LOSS: 0.1146, MAE: 0.1146, RMSE: 0.1636, R2: 0.6236), PNorm: 187.2098, GNorm: 0.5000
[8/299] timecost: 59.31, lr: 0.000100, Train: (LOSS: 0.1200, MAE: 0.1200, RMSE: 0.1676, R2: 0.5848), Valid: (LOSS: 0.1332, MAE: 0.1332, RMSE: 0.1889, R2: 0.5045), PNorm: 187.2468, GNorm: 0.5000
[9/299] timecost: 58.71, lr: 0.000100, Train: (LOSS: 0.1188, MAE: 0.1188, RMSE: 0.1662, R2: 0.5934), Valid: (LOSS: 0.1082, MAE: 0.1082, RMSE: 0.1530, R2: 0.6756), PNorm: 187.2733, GNorm: 0.5000
[10/299] timecost: 58.78, lr: 0.000100, Train: (LOSS: 0.1119, MAE: 0.1119, RMSE: 0.1587, R2: 0.6309), Valid: (LOSS: 0.0988, MAE: 0.0988, RMSE: 0.1358, R2: 0.7425), PNorm: 187.3065, GNorm: 0.5000
[11/299] timecost: 59.53, lr: 0.000100, Train: (LOSS: 0.0985, MAE: 0.0985, RMSE: 0.1429, R2: 0.6954), Valid: (LOSS: 0.0941, MAE: 0.0941, RMSE: 0.1305, R2: 0.7595), PNorm: 187.3335, GNorm: 0.5000
[12/299] timecost: 63.63, lr: 0.000100, Train: (LOSS: 0.0927, MAE: 0.0927, RMSE: 0.1353, R2: 0.7193), Valid: (LOSS: 0.0881, MAE: 0.0881, RMSE: 0.1367, R2: 0.7323), PNorm: 187.3619, GNorm: 0.5000
[13/299] timecost: 63.69, lr: 0.000100, Train: (LOSS: 0.0894, MAE: 0.0894, RMSE: 0.1311, R2: 0.7369), Valid: (LOSS: 0.0812, MAE: 0.0812, RMSE: 0.1182, R2: 0.7946), PNorm: 187.3878, GNorm: 0.5000
[14/299] timecost: 64.05, lr: 0.000100, Train: (LOSS: 0.0837, MAE: 0.0837, RMSE: 0.1228, R2: 0.7662), Valid: (LOSS: 0.0803, MAE: 0.0803, RMSE: 0.1153, R2: 0.8118), PNorm: 187.4097, GNorm: 0.5000
[15/299] timecost: 64.04, lr: 0.000100, Train: (LOSS: 0.0816, MAE: 0.0816, RMSE: 0.1208, R2: 0.7799), Valid: (LOSS: 0.0847, MAE: 0.0847, RMSE: 0.1262, R2: 0.7686), PNorm: 187.4324, GNorm: 0.5000
[16/299] timecost: 64.11, lr: 0.000100, Train: (LOSS: 0.0804, MAE: 0.0804, RMSE: 0.1208, R2: 0.7790), Valid: (LOSS: 0.0753, MAE: 0.0753, RMSE: 0.1067, R2: 0.8323), PNorm: 187.4545, GNorm: 0.4440
[17/299] timecost: 64.47, lr: 0.000100, Train: (LOSS: 0.0734, MAE: 0.0734, RMSE: 0.1130, R2: 0.8037), Valid: (LOSS: 0.0739, MAE: 0.0739, RMSE: 0.1017, R2: 0.8521), PNorm: 187.4747, GNorm: 0.5000
[18/299] timecost: 63.61, lr: 0.000100, Train: (LOSS: 0.0675, MAE: 0.0675, RMSE: 0.1015, R2: 0.8419), Valid: (LOSS: 0.0695, MAE: 0.0695, RMSE: 0.1004, R2: 0.8544), PNorm: 187.4926, GNorm: 0.4562
[19/299] timecost: 63.91, lr: 0.000100, Train: (LOSS: 0.0625, MAE: 0.0625, RMSE: 0.0942, R2: 0.8562), Valid: (LOSS: 0.0641, MAE: 0.0641, RMSE: 0.0919, R2: 0.8788), PNorm: 187.5089, GNorm: 0.5000
